Module	Observed_DEGs	Expected_DEGs	Fold_Change	Fisher_Test
0	15	12.118226600985222	1.2378048780487805	0.129915470508686
1	153	215.88396278051448	0.7087140611530857	0.004644524337619643
2	120	214.9863163656267	0.5581750598299303	3.3175162513883838e-09
3	90	58.496624703521256	1.538550308776745	7.230979693927352e-09
4	75	51.46506112023353	1.4572993477027796	1.6933432108088877e-06
5	30	27.079000182448457	1.107869559358577	0.14057547506220275
6	22	21.094690749863165	1.0429164504411002	0.3070994816182044
7	22	18.700966976829047	1.1764097560975608	0.10475322554933131
8	35	11.37018792191206	3.078225288831836	8.096382566884975e-13
9	26	11.37018792191206	2.286681643132221	1.0920105325753035e-06
10	15	10.921364714468163	1.3734547276979618	0.052124204719172465
11	7	10.622149242838898	0.659000343524562	0.5915542100005227
12	15	10.472541507024266	1.4323170731707318	0.04466317600726901
13	6	10.322933771209632	0.5812301166489926	0.3681203532795573
14	16	10.023718299580368	1.5962140516927559	0.014745852387753538
15	10	10.023718299580368	0.9976337823079724	0.5802880598732238
16	6	9.874110563765736	0.607649667405765	0.46004053695497715
17	11	9.57489509213647	1.1488376524390245	0.26227498163180246
18	3	8.826856413063311	0.33987184787102104	0.07847847585858991
19	9	8.826856413063311	1.0196155436130632	0.5555309710515306
20	5	8.22842546980478	0.607649667405765	0.5431250738946726
21	1	7.929209998175516	0.12611596870685687	0.011559495249636013
22	20	5.68509396095603	3.5179717586649555	3.753604703033228e-09
23	18	4.338624338624339	4.148780487804878	6.007837757410128e-10
24	8	4.189016602809707	1.9097560975609755	0.02043306957777757
25	1	3.8898011311804415	0.25708255159474674	0.24197692134979804
26	11	3.7401933953658095	2.941024390243902	0.00011219218390541367
27	7	3.4409779237365443	2.034305408271474	0.020917016684394597
28	2	3.2913701879219115	0.6076496674057651	1.0
29	2	3.2913701879219115	0.6076496674057651	1.0
30	8	3.2913701879219115	2.4305986696230604	0.00421183543711482
31	3	2.9921547162926476	1.002621951219512	0.734867318580404
32	10	2.9921547162926476	3.342073170731707	6.049491389391119e-05
33	4	2.9921547162926476	1.3368292682926828	0.311566818699048
34	2	2.3937237730341177	0.8355182926829269	1.0
35	1	2.3937237730341177	0.41775914634146344	0.710654543511191
36	4	2.2441160372194857	1.7824390243902437	0.11441585828427221
37	1	2.0945083014048533	0.4774390243902439	1.0
38	4	2.0945083014048533	1.9097560975609755	0.09287272982610395
39	1	2.0945083014048533	0.4774390243902439	1.0
40	2	2.0945083014048533	0.9548780487804878	0.6973734692722926
41	6	1.9449005655902207	3.0849906191369607	0.0032990874596577177
42	12	1.9449005655902207	6.169981238273921	2.021218363370723e-10
43	0	1.9449005655902207	0.0	0.3944119308389039
44	0	1.7952928297755886	0.0	0.3840996456944197
45	0	1.7952928297755886	0.0	0.3840996456944197
46	0	1.7952928297755886	0.0	0.3840996456944197
47	1	1.6456850939609557	0.6076496674057651	1.0
48	0	1.6456850939609557	0.0	0.37899503234043597
