Module	Observed_DEGs	Expected_DEGs	Fold_Change	Fisher_Test
0	30	30.20689655172414	0.9931506849315068	0.04292430490146959
1	512	538.1302681992337	0.9514424856890611	4.263003434979446e-16
2	442	535.8927203065134	0.8247919466925959	0.00018001592782278204
3	97	145.81353767560665	0.6652331569912062	0.4114512901435673
4	137	128.2860791826309	1.0679256928958267	6.812204262014585e-08
5	63	67.49936143039591	0.933342163021267	0.017040432854087392
6	55	52.582375478927204	1.0459778490236082	0.0014400931020475214
7	59	46.615581098339725	1.2656712328767121	1.051573767094497e-06
8	22	28.342273307790546	0.7762256669069936	0.6961540598755311
9	48	28.342273307790546	1.6935832732516225	2.6316715511562537e-11
10	24	27.2234993614304	0.8815912929255019	0.2338445570372753
11	31	26.47765006385696	1.1707987651939031	0.002688399199137499
12	38	26.10472541507024	1.4556751467710372	1.0080652293236918e-06
13	30	25.731800766283524	1.1658725431804646	0.0025062866216840215
14	42	24.985951468710088	1.6809445921079536	6.550870054366697e-10
15	22	24.985951468710088	0.8804947863422613	0.2682462188704027
16	53	24.61302681992337	2.1533312577833126	1.1728885030102863e-19
17	22	23.867177522349934	0.9217679794520549	0.20080365738591033
18	6	22.00255427841635	0.27269561179475266	0.0027857906211206486
19	11	22.00255427841635	0.4999419549570466	0.18447789464443223
20	17	20.510855683269472	0.828829389788294	0.5406607848573539
21	19	19.765006385696044	0.9612949082450244	0.1598105274985419
22	29	14.171136653895273	2.0464131218457102	2.468802609915802e-10
23	22	10.814814814814815	2.0342465753424657	4.719928701540611e-08
24	13	10.441890166028097	1.2449853228962817	0.02973931081815017
25	11	9.696040868454663	1.1344836670179135	0.07868524100900989
26	20	9.323116219667945	2.1452054794520548	4.1090802065070524e-08
27	10	8.577266922094507	1.1658725431804646	0.09518604399975235
28	13	8.20434227330779	1.584526774595268	0.002427593558964751
29	6	8.20434227330779	0.7313200498132006	1.0
30	20	8.20434227330779	2.437733499377335	4.2779381526197023e-10
31	20	7.458492975734355	2.681506849315068	3.318411551396414e-12
32	11	7.458492975734355	1.4748287671232876	0.008813604208295828
33	5	7.458492975734355	0.670376712328767	1.0
34	5	5.9667943805874835	0.837970890410959	0.7774635409556384
35	3	5.9667943805874835	0.5027825342465754	0.5822788357865472
36	9	5.593869731800766	1.608904109589041	0.0068076025806239745
37	1	5.2209450830140485	0.1915362035225049	0.131679387436983
38	5	5.2209450830140485	0.9576810176125244	0.544826269061087
39	4	5.2209450830140485	0.7661448140900196	1.0
40	8	5.2209450830140485	1.532289628180039	0.015707997377459964
41	10	4.848020434227331	2.0626975763962063	0.00023127620366302003
42	13	4.848020434227331	2.681506849315068	3.5142933022072455e-08
43	4	4.848020434227331	0.8250790305584825	0.7564586597494505
44	6	4.4750957854406135	1.340753424657534	0.09681279498396964
45	2	4.4750957854406135	0.44691780821917804	0.533849528882751
46	5	4.4750957854406135	1.1172945205479452	0.32398646618558263
47	5	4.102171136653895	1.2188667496886676	0.17719435166537276
48	4	4.102171136653895	0.9750933997509341	0.49918880808203003
