baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PA0005	391.153712641599	1.28343256295734	0.151987160996831	8.44434855246821	3.05745663335103e-17	1.6447820655715e-16
PA0006	170.387062384353	1.0356421641806	0.187275996435924	5.53003152507559	3.20173243730772e-08	1.00047419865284e-07
PA0008	1374.61014895761	1.10544731672847	0.14067700627705	7.85805261274467	3.90151435625496e-15	1.89115070879581e-14
PA0009	961.172499577078	1.23108276157948	0.144904107406995	8.49584448370199	1.96498949834643e-17	1.06425813373099e-16
PA0013	509.572824717986	3.78656490701385	0.227072420314915	16.6755826258533	1.97278558387715e-62	5.98697538063587e-61
PA0017	374.346751300027	1.75749900287987	0.171026900239638	10.2761553908614	9.02564147889979e-25	7.02917461899253e-24
PA0018	385.255775032705	2.06601116405729	0.15456863424011	13.3663027703791	9.51543029958903e-41	1.34858281200267e-39
PA0019	983.427968706792	1.00037262842727	0.136922252864517	7.30613620137501	2.74933496493653e-13	1.20410089758475e-12
PA0022	276.203461392452	1.73636930469505	0.165040950350938	10.5208392281	6.92539545711598e-26	5.62902594360053e-25
PA0024	443.052253178007	1.65280444546463	0.157376464767272	10.502233913494	8.43597174730337e-26	6.84687009257879e-25
PA0025	198.11468287319	0.622387961893603	0.208755246028136	2.98142429345089	0.00286910976132126	0.0053102780600656
PA0037	85.2927816733087	1.23068980656097	0.224672619103212	5.47770267455512	4.30883346634286e-08	1.32857681259296e-07
PA0040	175.820410998311	1.06396032769106	0.196761685924435	5.40735521091066	6.39622120636546e-08	1.94005970756897e-07
PA0042	114.92077146947	0.685140029578821	0.206941855828831	3.31078518086512	0.000930345994958164	0.0018363563223211
PA0044	1944.4734683282	1.3173632783804	0.174906325874587	7.53182180114507	5.00372159882096e-14	2.28088011492378e-13
PA0045	723.436338147589	2.88782308473442	0.17385967301035	16.6100800417502	5.89145428441711e-62	1.72240213215629e-60
PA0046	569.00073366289	3.3020134224559	0.174270581238311	18.947623855919	4.61977672969725e-80	2.26288011040609e-78
PA0047	559.729716808457	3.45803175489614	0.15684861135348	22.0469389244575	1.02207513700629e-107	9.35617633613627e-106
PA0056	24.6605072067089	0.679853325837071	0.393573340384993	1.72738662931803	0.0840982503046747	0.120876352561468
PA0064	203.0498999726	0.680811685136523	0.187363899576824	3.63363319547783	0.000279458077180624	0.000593343689344717
PA0065	172.019670851108	0.971177655581788	0.186997601404639	5.19353001475289	2.06343657118964e-07	5.99491665635949e-07
PA0066	162.991656425862	0.750908719133071	0.178569531503264	4.20513350072459	2.60928093797318e-05	6.2479522974452e-05
PA0079	414.852198255121	0.597818888876067	0.155268950153461	3.85021530888957	0.000118014034470076	0.000262860139003152
PA0117	55.1297070322539	0.864327207818222	0.2776302276099	3.11323163640774	0.00185050717432439	0.00352069235483046
PA0123	201.91729378371	1.2782134590963	0.188179418431124	6.79252529183545	1.10187490271872e-11	4.40434463620711e-11
PA0124	127.084266950366	1.94468059237979	0.232059363055254	8.38009967267195	5.2882900969349e-17	2.82042138503195e-16
PA0125	75.3115562881702	1.74895347014047	0.268612437204676	6.51106660711994	7.46190449544967e-11	2.8287355534685e-10
PA0126	218.21808114077	1.01832618863259	0.221197225203215	4.60370236424551	4.1504551299758e-06	1.08047279467528e-05
PA0128	85.588705454639	1.09096106452269	0.306491580650519	3.55951397492602	0.000371541762992938	0.000776162110166126
PA0135	6.35594157896309	0.879411190573957	0.674146028225756	1.30448174987907	0.192069378040574	0.253370046534034
PA0136	33.5377295610679	0.646558087366422	0.311006262058577	2.07892305153857	0.0376244236007072	0.057686650572858
PA0137	6.46941615821807	1.03201012336949	0.713063610946138	1.4472904065321	0.147815604884966	0.201465056792202
PA0141	75.8071499603432	0.693645912954752	0.36631384110759	1.89358368457342	0.0582802908053714	0.0862542125250977
PA0149	211.222920597793	1.94668591944113	0.288112984747268	6.75667541033863	1.41194017376464e-11	5.59962637095296e-11
PA0150	188.797078487985	1.96933739116616	0.218682380891304	9.00546895062853	2.1474605153608e-19	1.2880149857975e-18
PA0151	422.851179870439	1.07048510531235	0.333477322892646	3.21006866681897	0.0013270326696063	0.00256728527824137
PA0161	45.6546682162279	1.1334183760592	0.334794360589917	3.38541657052431	0.000710703100282424	0.00142497885528799
PA0162	184.710535560872	2.59006803112638	0.215433284844074	12.0225991680023	2.70331987223527e-33	3.00703947541071e-32
PA0164	64.3137895771629	0.939273826485876	0.259324378012001	3.62200358364461	0.000292330070778624	0.000618791173323669
PA0165	720.240837413244	4.99775538535993	0.194651873649621	25.6753520613731	2.2037329110618e-145	8.78974612526365e-143
PA0166	9.40173698560329	1.93156469165706	0.622721061264431	3.10181365591687	0.00192338991082482	0.00365189026251132
PA0172	89.5584663555688	1.09073143609963	0.260117613986473	4.19322405500901	2.75017567228581e-05	6.56842641319245e-05
PA0184	10.8718262838428	1.28913957869593	0.566918999303425	2.27393962855347	0.0229696166068872	0.0368041145287972
PA0185	19.7892399992657	0.821582719959235	0.401544129153625	2.04605835401197	0.0407506297566481	0.0621895371853302
PA0201	18.7787861887069	1.99184272812886	0.606427591376024	3.2845516207619	0.00102144784617505	0.00200342984651965
PA0203	13.4510746485653	0.821890053549268	0.49174448796033	1.67137624045025	0.094647385888872	0.134481171196809
PA0205	5.22161607963212	1.10270824183486	0.758195671297533	1.45438477635694	0.145839658248434	0.199014822008616
PA0206	26.4034400715629	0.957476897245168	0.364695677597373	2.62541334065996	0.00865438358759727	0.0149338930633941
PA0227	19.810104338236	1.0082302826308	0.405254451032174	2.48789440822392	0.0128501879519698	0.0215676133224525
PA0235	17.9133122659488	1.64677693370676	0.454365709839849	3.62434245816481	0.000289697541307102	0.000613451297178178
PA0240	5.22151686194775	1.13945312057552	0.769555866731535	1.4806632888331	0.138696321240713	0.190430355989215
PA0241	12.0078488517951	1.53721913684048	0.595812116764869	2.58004007234234	0.0098788850963552	0.0169058211394568
PA0247	15.1186696309297	1.28963511219168	0.488564094230672	2.63964365662693	0.0082993240702488	0.0143522532078877
PA0251	5.27040790734126	1.24162159864454	0.804586284845596	1.54318016852948	0.122787067626772	0.17030377188969
PA0252	80.4598549184311	1.29973204135456	0.334931718052955	3.88058810586899	0.000104204187185281	0.000233591401542597
PA0273	7.51173699245226	0.676233777694307	0.673648577369655	1.00383760971447	0.315456893011057	0.391621007241828
PA0277	563.419082914708	3.55288236097375	0.17087267637758	20.7925716170261	5.05291216781019e-96	3.52693269313151e-94
PA0280	56.4977612438353	0.779970663180949	0.271528193796751	2.87252182646192	0.00407209948846449	0.00738986140513022
PA0281	26.4690351375889	0.781983705909638	0.366887380974112	2.13139984218976	0.0330562158721611	0.0513737571472718
PA0282	24.3421729233523	1.14691360799076	0.409200924006181	2.80281284988848	0.00506590566406528	0.00906009407807566
PA0284	23.3791666546138	0.753475391658729	0.371881496378826	2.02611691895308	0.0427528047085614	0.0650140690339343
PA0285	379.466717508425	1.2186720710584	0.146967105742771	8.29214173402432	1.11227279854847e-16	5.84283283828285e-16
PA0287	14.758163216376	0.834881855123756	0.472005273355881	1.76879772801664	0.0769276360589855	0.111372548548969
PA0307	83.322080777552	0.600696525860161	0.238486635545384	2.51878485553899	0.0117760586744019	0.0198723214378545
PA0310	95.7867825504837	1.26723755544767	0.219109143399105	5.78359047819108	7.31228292755428e-09	2.41037708780774e-08
PA0311	13.4339947327706	1.09201045588052	0.511942232047659	2.13307359213696	0.0329186897033303	0.0511885166536888
PA0316	1864.64844475002	0.632792378076667	0.125913151964529	5.02562574444113	5.01793642358616e-07	1.42162135917327e-06
