Module	Observed_DEGs	Expected_DEGs	Fold_Change	Fisher_Test
0	45	44.3883495145631	1.013779527559055	0.0002453564977035527
1	621	790.7702265372168	0.7853102951528149	5.414061182005593e-11
2	834	787.4822006472492	1.0590715565564743	2.2173939552351942e-82
3	252	214.26968716289102	1.176087963429124	6.944817169570786e-33
4	284	188.51348435814455	1.5065235304889215	2.7809275174835137e-75
5	110	99.18878101402373	1.1089963892634969	2.7117395824876596e-12
6	73	77.26860841423948	0.9447562405763109	8.045329839904066e-05
7	69	68.5005393743258	1.007291338582677	7.143421956597775e-06
8	61	41.648327939590075	1.464644633236635	1.071215302861805e-15
9	30	41.648327939590075	0.7203170327393287	0.4708881128456971
10	47	40.004314994606254	1.1748732607054255	4.6839781911500173e-07
11	41	38.90830636461704	1.0537595652656095	0.000144581897664562
12	19	38.36030204962244	0.4953037120359955	0.16781057183717135
13	48	37.81229773462783	1.2694282779869908	7.770497638930077e-09
14	21	36.71628910463862	0.5719532259960042	0.5237660400464557
15	58	36.71628910463862	1.5796803384651545	4.726222924260349e-18
16	39	36.16828478964401	1.078292770221904	8.681670951904026e-05
17	30	35.072276159654805	0.8553764763779527	0.06551712927292166
18	35	32.33225458468177	1.0825103429867877	0.00018539699351219683
19	35	32.33225458468177	1.0825103429867877	0.00018539699351219683
20	17	30.140237324703342	0.5640300644237652	0.5721440086983818
21	27	29.044228694714135	0.9296166988560391	0.02090635178880352
22	23	20.824163969795038	1.1044861168669706	0.0018532399095551157
23	17	15.892125134843582	1.0697121911485201	0.01117765458035731
24	13	15.344120819848975	0.8472300337457818	0.23791697791614747
25	1	14.248112189859762	0.0701847365233192	0.0002743945406509413
26	19	13.700107874865157	1.3868503937007872	5.793078958045842e-05
27	10	12.604099244875945	0.7933926737418692	0.5128963582986021
28	7	12.05609492988134	0.5806191839656406	0.8259478996837335
29	12	12.05609492988134	0.9953471725125267	0.07365142105241287
30	14	12.05609492988134	1.1612383679312812	0.011892348770990182
31	3	10.960086299892126	0.2737204724409449	0.0623219239041964
32	8	10.960086299892126	0.7299212598425197	0.6472537058990403
33	15	10.960086299892126	1.3686023622047243	0.000511235933423118
34	9	8.768069039913701	1.026451771653543	0.11352475794289332
35	5	8.768069039913701	0.5702509842519684	0.8003471525669832
36	4	8.220064724919093	0.48661417322834655	0.5953883857024098
37	9	7.672060409924487	1.1730877390326209	0.045230408622074246
38	9	7.672060409924487	1.1730877390326209	0.045230408622074246
39	12	7.672060409924487	1.564116985376828	0.00015815132526697192
40	6	7.672060409924487	0.782058492688414	0.5827043816474642
41	11	7.124056094929881	1.5440642035130225	0.0003864064595034652
42	7	7.124056094929881	0.9825863113264688	0.24352484742172434
43	9	7.124056094929881	1.2633252574197456	0.01698021346220044
44	6	6.576051779935275	0.9124015748031497	0.36598748330401
45	6	6.576051779935275	0.9124015748031497	0.36598748330401
46	7	6.576051779935275	1.0644685039370079	0.129221533911215
47	3	6.02804746494067	0.49767358625626335	0.756535426758304
48	7	6.02804746494067	1.1612383679312812	0.06128101547282504
