x
AAG03391	3
AAG03392	3
AAG03393	3
AAG03394	3
AAG03395	11
AAG03396	2
AAG03397	4
AAG03398	3
AAG03399	3
AAG03400	1
AAG03401	2
AAG03402	46
AAG03403	11
AAG03404	1
AAG03405	2
AAG03406	3
AAG03407	3
AAG03408	3
AAG03409	10
AAG03410	2
AAG03411	1
AAG03412	2
AAG03413	2
AAG03414	9
AAG03415	9
AAG03416	5
AAG03417	15
AAG03418	2
AAG03419	1
AAG03420	1
AAG03421	1
AAG03422	1
AAG03423	2
AAG03424	1
AAG03425	0
AAG03426	0
AAG03427	1
AAG03428	8
AAG03429	0
AAG03430	1
AAG03431	1
AAG03432	1
AAG03433	1
AAG03434	26
AAG03435	3
AAG03436	3
AAG03437	16
AAG03438	7
AAG03439	7
AAG03440	4
AAG03441	4
AAG03442	7
AAG03443	40
AAG03444	2
AAG03445	1
AAG03446	1
AAG03447	1
AAG03448	1
AAG03449	4
AAG03450	8
AAG03451	2
AAG03452	7
AAG03453	2
AAG03454	2
AAG03455	2
AAG03456	2
AAG03457	2
AAG03458	0
AAG03459	1
AAG03460	16
AAG03461	18
AAG03462	2
AAG03463	2
AAG03464	16
AAG03465	16
AAG03466	16
AAG03467	16
AAG03468	16
AAG03469	16
AAG03470	16
AAG03471	2
AAG03472	2
AAG03473	16
AAG03474	16
AAG03475	16
AAG03476	16
AAG03477	16
AAG03478	16
AAG03479	16
AAG03480	16
AAG03481	16
AAG03482	16
AAG03483	16
AAG03484	16
AAG03485	1
AAG03486	2
AAG03487	1
AAG03488	1
AAG03489	1
AAG03490	16
AAG03491	16
AAG03492	7
AAG03493	7
AAG03494	7
AAG03495	5
AAG03496	5
AAG03497	5
AAG03498	5
AAG03499	4
AAG03500	5
AAG03501	5
AAG03502	5
AAG03503	5
AAG03504	5
AAG03505	2
AAG03506	2
AAG03507	1
AAG03508	1
AAG03509	11
AAG03510	2
AAG03511	1
AAG03512	4
AAG03513	6
AAG03514	40
AAG03515	0
AAG03516	16
AAG03517	2
AAG03518	4
AAG03519	1
AAG03520	27
AAG03521	27
AAG03522	0
AAG03523	1
AAG03524	2
AAG03525	1
AAG03526	1
AAG03527	1
AAG03528	1
AAG03529	13
AAG03530	20
AAG03531	19
AAG03532	1
AAG03533	4
AAG03534	2
AAG03535	2
AAG03536	1
AAG03537	1
AAG03538	19
AAG03539	1
AAG03540	1
AAG03541	1
AAG03542	2
AAG03543	1
AAG03544	1
AAG03545	1
AAG03546	2
AAG03547	2
AAG03548	15
AAG03549	2
AAG03550	10
AAG03551	2
AAG03552	1
AAG03553	1
AAG03554	1
AAG03555	10
AAG03556	1
AAG03557	2
AAG03558	2
AAG03559	2
AAG03560	0
AAG03561	2
AAG03562	2
AAG03563	1
AAG03564	1
AAG03565	5
AAG03566	5
AAG03567	4
AAG03568	4
AAG03569	4
AAG03570	4
AAG03571	1
AAG03572	1
AAG03573	12
AAG03574	12
AAG03575	1
AAG03576	1
AAG03577	4
AAG03578	1
AAG03579	1
AAG03580	1
AAG03581	12
AAG03582	12
AAG03583	12
AAG03584	12
ABG56537	7
ABG56539	7
AAG03585	7
AAG03586	12
AAG03587	12
AAG03588	12
AAG03589	9
AAG03590	12
AAG03591	14
AAG03592	2
AAG03593	46
AAG03594	2
AAG03595	2
AAG03596	2
AAG03597	5
AAG03598	14
AAG03599	14
AAG03600	14
AAG03601	14
AAG03602	14
AAG03603	14
AAG03604	14
AAG03605	14
AAG03606	14
AAG03607	1
AAG03608	1
AAG03609	1
AAG03610	1
AAG03611	1
AAG03612	1
AAG03613	1
AAG03614	1
AAG03615	1
AAG03616	1
AAG03617	1
AAG03618	1
AAG03619	1
AAG03620	1
AAG03621	1
AAG03622	2
AAG03623	1
AAG03624	1
AAG03625	2
AAG03626	1
AAG03627	1
AAG03628	1
AAG03629	1
AAG03630	1
AAG03631	1
AAG03632	2
AAG03633	1
AAG03634	1
AAG03635	1
AAG03636	1
AAG03637	1
AAG03638	13
AAG03639	33
AAG03640	1
AAG03641	1
AAG03642	2
AAG03643	1
AAG03644	2
AAG03645	4
AAG03646	1
AAG03647	3
AAG03648	46
AAG03649	47
AAG03650	47
AAG03651	47
AAG03652	47
AAG03653	2
AAG03654	20
AAG03655	20
AAG03656	2
AAG03657	1
AAG03658	33
AAG03659	33
AAG03660	33
AAG03661	1
AAG03662	1
AAG03663	1
AAG03664	1
AAG03665	2
AAG03666	16
AAG03667	1
AAG03668	2
AAG03669	12
AAG03670	12
AAG03671	12
AAG03672	12
AAG03673	12
AAG03674	1
AAG03675	5
AAG03676	1
AAG03677	1
AAG03678	1
AAG03679	4
AAG03680	8
AAG03681	2
AAG03682	1
AAG03683	1
AAG03684	1
AAG03685	21
AAG03686	6
AAG03687	21
AAG03688	4
AAG03689	5
AAG03690	5
AAG03691	2
AAG03692	2
AAG03693	2
AAG03694	1
AAG03695	1
AAG03696	2
AAG03697	2
AAG03698	2
AAG03699	2
AAG03700	1
AAG03701	2
AAG03702	2
AAG03703	5
AAG03704	15
AAG03705	3
AAG03706	3
AAG03707	2
AAG03708	11
AAG03709	20
AAG03710	1
AAG03711	1
AAG03712	1
AAG03713	1
AAG03714	1
AAG03715	1
AAG03716	1
AAG03717	1
AAG03718	7
AAG03719	0
AAG03720	3
AAG03721	2
AAG03722	2
AAG03723	2
AAG03724	2
AAG03725	2
AAG03726	2
AAG03727	2
AAG03728	2
AAG03729	2
AAG03730	2
AAG03731	2
AAG03732	2
AAG03733	2
AAG03734	2
AAG03735	2
AAG03736	5
AAG03737	1
AAG03738	1
AAG03739	2
AAG03740	2
AAG03741	2
AAG03742	9
AAG03743	3
AAG03744	7
AAG03745	2
AAG03746	2
AAG03747	1
AAG03748	10
AAG03749	2
AAG03750	2
AAG03751	10
AAG03752	2
AAG03753	1
AAG03754	1
AAG03755	7
AAG03756	2
AAG03757	2
AAG03758	2
AAG03759	7
AAG03760	7
AAG03761	7
AAG03762	3
AAG03763	3
AAG03764	2
AAG03765	2
AAG03766	2
AAG03767	2
AAG03768	2
AAG03769	0
AAG03770	3
AAG03771	2
AAG03772	1
AAG03773	0
AAG03774	1
AAG03775	1
AAG03776	2
AAG03777	4
AAG03778	2
AAG03779	11
AAG03780	2
AAG03781	2
AAG03782	2
AAG03783	2
AAG03784	20
AAG03785	17
AAG03786	1
AAG03787	10
AAG03788	7
AAG03789	23
AAG03790	2
AAG03791	3
AAG03792	11
AAG03793	2
AAG03794	2
AAG03795	1
AAG03796	17
AAG03797	17
AAG03798	19
AAG03799	2
AAG03800	18
AAG03801	2
AAG03802	2
AAG03803	2
AAG03804	2
