Module	Observed_DEGs	Expected_DEGs	Fold_Change	Fisher_Test
0	20	16.182266009852217	1.2359208523592085	0.048643446900543924
1	165	288.2840722495895	0.5723521202973257	4.633618187203237e-09
2	199	287.08538587848926	0.6931735636457232	0.003652398639550366
3	216	78.1143951833607	2.7651753494727256	6.581521679022114e-75
4	64	68.7246852764094	0.9312519910799619	0.26091473141285565
5	33	36.16037219485495	0.9126012260652389	0.4759960833707843
6	23	28.16912972085386	0.8164966482075197	1.0
7	24	24.97263273125342	0.9610520547945206	0.3921871004223822
8	49	15.18336070060208	3.227217015140591	3.507414393752974e-21
9	22	15.18336070060208	1.448954578226388	0.004779740296195548
10	40	14.584017515051999	2.7427284668793392	4.6142699380669436e-14
11	24	14.184455391351944	1.6919930542157051	0.0002719955096454541
12	13	13.984674329501916	0.9295890410958905	0.6252525231511137
13	12	13.784893267651887	0.8705181655747469	0.7455396729660511
14	12	13.385331143951833	0.8965037824575752	0.7393472399139001
15	9	13.385331143951833	0.6723778368431814	0.6197254612586731
16	19	13.185550082101805	1.4409713574097136	0.010892022354727962
17	5	12.78598795840175	0.39105308219178087	0.06268105361943781
18	25	11.787082649151616	2.1209658695147433	1.7827966888367296e-06
19	13	11.787082649151616	1.1029022521476666	0.21945171345319267
20	11	10.987958401751502	1.0010958904109593	0.46327334646672585
21	7	10.58839627805145	0.6611010597053503	0.7086286752855125
22	6	7.59168035030104	0.790338860850757	1.0
23	5	5.793650793650793	0.8630136986301371	0.8040387349536678
24	3	5.593869731800766	0.5363013698630137	0.6085001606005143
25	2	5.194307608100712	0.3850368809272918	0.29682844842805645
26	7	4.994526546250685	1.4015342465753422	0.16789674018586703
27	6	4.594964422550629	1.3057772483621204	0.25122177256837275
28	1	4.395183360700602	0.22752179327521793	0.24089185899447352
29	0	4.395183360700602	0.0	0.03816738930031301
30	5	4.395183360700602	1.1376089663760895	0.38893440252275097
31	16	3.995621237000547	4.004383561643836	5.937420150624285e-10
32	9	3.995621237000547	2.2524657534246577	0.002435596582195761
33	3	3.995621237000547	0.7508219178082193	1.0
34	2	3.1964969896004374	0.6256849315068495	1.0
35	0	3.1964969896004374	0.0	0.09180720401737211
36	4	2.9967159277504107	1.334794520547945	0.2890821731433429
37	2	2.796934865900383	0.7150684931506849	1.0
38	3	2.796934865900383	1.0726027397260274	0.4894512953003721
39	1	2.796934865900383	0.35753424657534244	0.7141827981148271
40	0	2.796934865900383	0.0	0.14603944680396208
41	4	2.597153804050356	1.5401475237091673	0.24778043207578965
42	5	2.597153804050356	1.9251844046364592	0.0473806035002946
43	0	2.597153804050356	0.0	0.14538145751831907
44	2	2.3973727422003286	0.8342465753424657	1.0
45	3	2.3973727422003286	1.2513698630136985	0.42839005426274274
46	0	2.3973727422003286	0.0	0.2354661538622727
47	0	2.197591680350301	0.0	0.23017606221033315
48	1	2.197591680350301	0.45504358655043586	1.0
